[run number],number-strategies,memory-size,overcrowding-threshold,avg-attendance,attendance
1,10,10,40,48.4969697,36
1,10,10,40,48.51612903,58
1,10,10,40,48.52313883,52
1,10,10,40,48.52811245,51
1,10,10,40,48.53106212,50
1,10,10,40,48.534,50
1,10,10,40,48.54091816,52
1,10,10,40,48.53187251,44
1,10,10,40,48.52882704,47
1,10,10,40,48.52777778,48
1,10,10,40,48.53861386,54
1,10,10,40,48.50988142,34
1,10,10,40,48.51676529,52
1,10,10,40,48.51377953,47
1,10,10,40,48.52455796,54
1,10,10,40,48.51568627,44
1,10,10,40,48.52837573,55
1,10,10,40,48.53515625,52
1,10,10,40,48.53411306,48
1,10,10,40,48.53501946,49
1,10,10,40,48.53592233,49
1,10,10,40,48.54457364,53
1,10,10,40,48.52224371,37
1,10,10,40,48.52895753,52
1,10,10,40,48.522158,45
1,10,10,40,48.53461538,55
1,10,10,40,48.51055662,36
1,10,10,40,48.5210728,54
1,10,10,40,48.52772467,52
1,10,10,40,48.53053435,50
1,10,10,40,48.53142857,49
1,10,10,40,48.53612167,51
1,10,10,40,48.54079696,51
1,10,10,40,48.53409091,45
1,10,10,40,48.53497164,49
1,10,10,40,48.53207547,47
1,10,10,40,48.5480226,57
1,10,10,40,48.51879699,33
1,10,10,40,48.52532833,52
1,10,10,40,48.52621723,49
1,10,10,40,48.5364486,54
1,10,10,40,48.52798507,44
1,10,10,40,48.53817505,54
1,10,10,40,48.54275093,51
1,10,10,40,48.54359926,49
1,10,10,40,48.54444444,49
1,10,10,40,48.54343808,48
1,10,10,40,48.55904059,57
1,10,10,40,48.53775322,37
1,10,10,40,48.54411765,52
1,10,10,40,48.53577982,44
1,10,10,40,48.54761905,55
1,10,10,40,48.53016453,39
1,10,10,40,48.53649635,52
1,10,10,40,48.53734062,49
1,10,10,40,48.54363636,52
1,10,10,40,48.54446461,49
1,10,10,40,48.54528986,49
1,10,10,40,48.54972875,51
1,10,10,40,48.54512635,46
1,10,10,40,48.54594595,49
1,10,10,40,48.53956835,45
1,10,10,40,48.55655296,58
1,10,10,40,48.54301075,41
1,10,10,40,48.54382826,49
1,10,10,40,48.53392857,43
1,10,10,40,48.54901961,57
1,10,10,40,48.54092527,44
1,10,10,40,48.54529307,51
1,10,10,40,48.54255319,47
1,10,10,40,48.54867257,52
1,10,10,40,48.5459364,47
1,10,10,40,48.5308642,40
1,10,10,40,48.54225352,55
1,10,10,40,48.55008787,53
1,10,10,40,48.54736842,47
1,10,10,40,48.53064799,39
1,10,10,40,48.54545455,57
1,10,10,40,48.53926702,45
1,10,10,40,48.54703833,53
1,10,10,40,48.53913043,44
1,10,10,40,48.55902778,60
1,10,10,40,48.55285962,45
1,10,10,40,48.5467128,45
1,10,10,40,48.54404145,47
1,10,10,40,48.55862069,57
1,10,10,40,48.55593804,47
1,10,10,40,48.54295533,41
1,10,10,40,48.55060034,53
1,10,10,40,48.54965753,48
1,10,10,40,48.54700855,47
1,10,10,40,48.52901024,38
1,10,10,40,48.54003407,55
1,10,10,40,48.55102041,55
1,10,10,40,48.55008489,48
1,10,10,40,48.53898305,42
1,10,10,40,48.55329949,57
1,10,10,40,48.54391892,43
1,10,10,40,48.54806071,51
1,10,10,40,48.54377104,46
1,10,10,40,48.54789916,51
1,10,10,40,48.54194631,45
1,10,10,40,48.5360134,45
1,10,10,40,48.53344482,47
1,10,10,40,48.5409015,53
1,10,10,40,48.54166667,49
1,10,10,40,48.52579035,39
1,10,10,40,48.53820598,56
1,10,10,40,48.53731343,48
1,10,10,40,48.54470199,53
1,10,10,40,48.54049587,46
1,10,10,40,48.55115512,55
1,10,10,40,48.54200988,43
1,10,10,40,48.54276316,49
1,10,10,40,48.52380952,37
1,10,10,40,48.54098361,59
1,10,10,40,48.53682488,46
1,10,10,40,48.52287582,40
1,10,10,40,48.53017945,53
1,10,10,40,48.52931596,48
1,10,10,40,48.53333333,51
1,10,10,40,48.53246753,48
1,10,10,40,48.55105348,60
1,10,10,40,48.55501618,51
1,10,10,40,48.55411955,48
1,10,10,40,48.53387097,36
1,10,10,40,48.54589372,56
1,10,10,40,48.53697749,43
1,10,10,40,48.53130016,45
1,10,10,40,48.52403846,44
1,10,10,40,48.5248,49
1,10,10,40,48.52555911,49
1,10,10,40,48.52791069,50
1,10,10,40,48.53025478,50
1,10,10,40,48.55007949,61
1,10,10,40,48.55396825,51
1,10,10,40,48.54199683,41
1,10,10,40,48.5443038,50
1,10,10,40,48.55134281,53
1,10,10,40,48.54574132,45
1,10,10,40,48.53858268,44
1,10,10,40,48.53301887,45
1,10,10,40,48.52904239,46
1,10,10,40,48.52037618,43
1,10,10,40,48.51486698,45
1,10,10,40,48.528125,57
1,10,10,40,48.53042122,50
1,10,10,40,48.52803738,47
1,10,10,40,48.53032659,50
1,10,10,40,48.52795031,47
1,10,10,40,48.53178295,51
1,10,10,40,48.53560372,51
1,10,10,40,48.53477589,48
1,10,10,40,48.53549383,49
1,10,10,40,48.52080123,39
1,10,10,40,48.51230769,43
1,10,10,40,48.51305684,49
1,10,10,40,48.51840491,52
1,10,10,40,48.50689127,41
1,10,10,40,48.51529052,54
1,10,10,40,48.51603053,49
1,10,10,40,48.52286585,53
1,10,10,40,48.52359209,49
1,10,10,40,48.5212766,47
1,10,10,40,48.52200303,49
1,10,10,40,48.52121212,48
1,10,10,40,48.51134644,42
1,10,10,40,48.51057402,48
1,10,10,40,48.51282051,50
1,10,10,40,48.50150602,41
1,10,10,40,48.50526316,51
1,10,10,40,48.5015015,46
1,10,10,40,48.51124438,55
1,10,10,40,48.51047904,48
1,10,10,40,48.51718984,53
1,10,10,40,48.51044776,44
1,10,10,40,48.51862891,54
1,10,10,40,48.51041667,43
1,10,10,40,48.51114413,49
1,10,10,40,48.50296736,43
1,10,10,40,48.50222222,48
1,10,10,40,48.49704142,45
1,10,10,40,48.4859675,41
1,10,10,40,48.49557522,55
1,10,10,40,48.50515464,55
1,10,10,40,48.50147059,46
1,10,10,40,48.4948605,44
1,10,10,40,48.5058651,56
1,10,10,40,48.50366032,47
1,10,10,40,48.50877193,52
1,10,10,40,48.50510949,46
1,10,10,40,48.51020408,52
1,10,10,40,48.5007278,42
1,10,10,40,48.49418605,44
1,10,10,40,48.48766328,44
1,10,10,40,48.4942029,53
1,10,10,40,48.48914616,45
1,10,10,40,48.48554913,46
1,10,10,40,48.48773449,50
1,10,10,40,48.49567723,54
1,10,10,40,48.49208633,46
1,10,10,40,48.49425287,50
1,10,10,40,48.50215208,54
1,10,10,40,48.49856734,46
1,10,10,40,48.49356223,45
1,10,10,40,48.48428571,42
1,10,10,40,48.48787447,51
1,10,10,40,48.47863248,42
1,10,10,40,48.47226174,44
1,10,10,40,48.47301136,49
1,10,10,40,48.48085106,54
1,10,10,40,48.47592068,45
1,10,10,40,48.47807638,50
1,10,10,40,48.47740113,48
1,10,10,40,48.48519041,54
1,10,10,40,48.48309859,47
1,10,10,40,48.47960619,46
1,10,10,40,48.48033708,49
1,10,10,40,48.47826087,47
1,10,10,40,48.46358543,38
1,10,10,40,48.45874126,45
1,10,10,40,48.47067039,57
1,10,10,40,48.46304045,43
1,10,10,40,48.46796657,52
1,10,10,40,48.46175243,44
1,10,10,40,48.47083333,55
1,10,10,40,48.47156727,49
1,10,10,40,48.47368421,50
1,10,10,40,48.47856155,52
1,10,10,40,48.49033149,57
1,10,10,40,48.47310345,36
1,10,10,40,48.46556474,43
1,10,10,40,48.46767538,50
1,10,10,40,48.46840659,49
1,10,10,40,48.46090535,43
1,10,10,40,48.45205479,42
1,10,10,40,48.4623803,56
1,10,10,40,48.46584699,51
1,10,10,40,48.46111869,45
1,10,10,40,48.45912807,47
1,10,10,40,48.47482993,60
1,10,10,40,48.4673913,43
1,10,10,40,48.46540027,47
1,10,10,40,48.45934959,44
1,10,10,40,48.46549391,53
1,10,10,40,48.45810811,43
1,10,10,40,48.45209177,44
1,10,10,40,48.45013477,47
1,10,10,40,48.4589502,55
1,10,10,40,48.45430108,45
1,10,10,40,48.44966443,45
1,10,10,40,48.45978552,56
1,10,10,40,48.46452477,52
1,10,10,40,48.46390374,48
1,10,10,40,48.45794393,44
1,10,10,40,48.46266667,52
1,10,10,40,48.46071904,47
1,10,10,40,48.45478723,44
1,10,10,40,48.43957503,37
1,10,10,40,48.45225464,58
1,10,10,40,48.44503311,43
1,10,10,40,48.44973545,52
1,10,10,40,48.43989432,41
1,10,10,40,48.44854881,55
1,10,10,40,48.45322793,52
1,10,10,40,48.44736842,44
1,10,10,40,48.45729304,56
1,10,10,40,48.46587927,55
1,10,10,40,48.46395806,47
1,10,10,40,48.45157068,39
1,10,10,40,48.45490196,51
1,10,10,40,48.45691906,50
1,10,10,40,48.45501956,47
1,10,10,40,48.44140625,38
1,10,10,40,48.44603381,52
1,10,10,40,48.44545455,48
1,10,10,40,48.45006485,52
1,10,10,40,48.44041451,41
1,10,10,40,48.44890039,55
1,10,10,40,48.45090439,50
1,10,10,40,48.45419355,51
1,10,10,40,48.44716495,43
1,10,10,40,48.45945946,58
1,10,10,40,48.45372751,44
1,10,10,40,48.44544288,42
1,10,10,40,48.44358974,47
1,10,10,40,48.44814341,52
1,10,10,40,48.44373402,45
1,10,10,40,48.43550447,42
1,10,10,40,48.43877551,51
1,10,10,40,48.44458599,53
1,10,10,40,48.44656489,50
1,10,10,40,48.43583227,40
1,10,10,40,48.4428934,54
1,10,10,40,48.44359949,49
1,10,10,40,48.44556962,50
1,10,10,40,48.43489254,40
1,10,10,40,48.44318182,55
1,10,10,40,48.43631778,43
1,10,10,40,48.43702771,49
1,10,10,40,48.42515723,39
1,10,10,40,48.43718593,58
1,10,10,40,48.43663739,48
1,10,10,40,48.43233083,45
1,10,10,40,48.43178974,48
1,10,10,40,48.43875,54
1,10,10,40,48.43820225,48
1,10,10,40,48.43266833,44
1,10,10,40,48.43960149,54
1,10,10,40,48.45149254,58
1,10,10,40,48.44596273,44
1,10,10,40,48.43300248,38
1,10,10,40,48.43742255,52
1,10,10,40,48.44306931,53
1,10,10,40,48.43263288,40
1,10,10,40,48.42839506,45
1,10,10,40,48.42909988,49
1,10,10,40,48.42857143,48
1,10,10,40,48.42927429,49
1,10,10,40,48.42260442,43
1,10,10,40,48.43312883,57
1,10,10,40,48.4375,52
1,10,10,40,48.43206854,44
1,10,10,40,48.42665037,44
1,10,10,40,48.43711844,57
1,10,10,40,48.42926829,42
1,10,10,40,48.42996346,49
1,10,10,40,48.42457421,44
1,10,10,40,48.43134872,54
1,10,10,40,48.42597087,44
1,10,10,40,48.4169697,41
1,10,10,40,48.42009685,51
1,10,10,40,48.42684401,54
1,10,10,40,48.42512077,47
1,10,10,40,48.4185766,43
1,10,10,40,48.43253012,60
1,10,10,40,48.42719615,44
1,10,10,40,48.43269231,53
1,10,10,40,48.42256903,40
1,10,10,40,48.43165468,56
1,10,10,40,48.42634731,44
1,10,10,40,48.41985646,43
1,10,10,40,48.41099164,41
1,10,10,40,48.42243437,58
1,10,10,40,48.42312277,49
1,10,10,40,48.42619048,51
1,10,10,40,48.42449465,47
1,10,10,40,48.42755344,51
1,10,10,40,48.43534994,55
1,10,10,40,48.42890995,43
1,10,10,40,48.43786982,56
1,10,10,40,48.43971631,50
1,10,10,40,48.43683589,46
1,10,10,40,48.42334906,37
1,10,10,40,48.42402827,49
1,10,10,40,48.42352941,48
1,10,10,40,48.42890717,53
1,10,10,40,48.42253521,43
1,10,10,40,48.43141852,56
1,10,10,40,48.43793911,54
1,10,10,40,48.43391813,45
1,10,10,40,48.43691589,51
1,10,10,40,48.43990665,51
1,10,10,40,48.44405594,52
1,10,10,40,48.43422584,40
1,10,10,40,48.4372093,51
1,10,10,40,48.43554007,47
1,10,10,40,48.4361949,49
1,10,10,40,48.42178447,36
1,10,10,40,48.42708333,53
1,10,10,40,48.42774566,49
1,10,10,40,48.43187067,52
1,10,10,40,48.42675894,44
1,10,10,40,48.43202765,53
1,10,10,40,48.43153049,48
