attendance,avg-attendance
55.0,51.78431373
47.0,51.73786408
58.0,51.79807692
47.0,51.75238095
54.0,51.77358491
48.0,51.73831776
58.0,51.7962963
47.0,51.75229358
56.0,51.79090909
48.0,51.75675676
56.0,51.79464286
47.0,51.75221239
57.0,51.79824561
48.0,51.76521739
55.0,51.79310345
47.0,51.75213675
59.0,51.81355932
47.0,51.77310924
55.0,51.8
47.0,51.76033058
58.0,51.81147541
47.0,51.77235772
55.0,51.7983871
49.0,51.776
56.0,51.80952381
46.0,51.76377953
58.0,51.8125
48.0,51.78294574
55.0,51.80769231
47.0,51.77099237
60.0,51.83333333
46.0,51.78947368
54.0,51.80597015
47.0,51.77037037
58.0,51.81617647
46.0,51.77372263
55.0,51.79710145
47.0,51.76258993
59.0,51.81428571
47.0,51.78014184
54.0,51.79577465
46.0,51.75524476
58.0,51.79861111
47.0,51.76551724
57.0,51.80136986
48.0,51.7755102
56.0,51.80405405
45.0,51.75838926
59.0,51.80666667
48.0,51.78145695
54.0,51.79605263
48.0,51.77124183
59.0,51.81818182
46.0,51.78064516
54.0,51.79487179
46.0,51.75796178
58.0,51.79746835
50.0,51.78616352
58.0,51.825
45.0,51.7826087
55.0,51.80246914
46.0,51.76687117
60.0,51.81707317
50.0,51.80606061
55.0,51.8253012
46.0,51.79041916
54.0,51.80357143
46.0,51.76923077
61.0,51.82352941
51.0,51.81871345
53.0,51.8255814
46.0,51.79190751
52.0,51.79310345
48.0,51.77142857
58.0,51.80681818
51.0,51.80225989
57.0,51.83146067
44.0,51.7877095
56.0,51.81111111
44.0,51.7679558
59.0,51.80769231
49.0,51.79234973
56.0,51.81521739
48.0,51.79459459
57.0,51.82258065
42.0,51.77005348
55.0,51.78723404
51.0,51.78306878
56.0,51.80526316
51.0,51.80104712
59.0,51.83854167
41.0,51.78238342
55.0,51.79896907
52.0,51.8
52.0,51.80102041
51.0,51.79695431
59.0,51.83333333
43.0,51.78894472
52.0,51.79
51.0,51.78606965
54.0,51.7970297
51.0,51.79310345
58.0,51.82352941
45.0,51.7902439
50.0,51.7815534
48.0,51.76328502
56.0,51.78365385
50.0,51.77511962
57.0,51.8
47.0,51.77725118
56.0,51.79716981
42.0,51.75117371
59.0,51.78504673
49.0,51.77209302
57.0,51.7962963
50.0,51.78801843
57.0,51.81192661
41.0,51.76255708
56.0,51.78181818
50.0,51.77375566
58.0,51.8018018
53.0,51.80717489
56.0,51.82589286
43.0,51.78666667
54.0,51.79646018
48.0,51.77973568
57.0,51.80263158
52.0,51.80349345
