std,[run number]
0.0,1.0
0.0,1.0
0.0,1.0
7.778174593,1.0
6.599663291,1.0
7.071067812,1.0
10.18233765,1.0
0.942809042,1.0
0.808122036,1.0
6.275572683,1.0
3.849803586,1.0
0.353553391,1.0
8.678128678,1.0
5.362226424,1.0
0.380749805,1.0
5.555838995,1.0
1.225651754,1.0
0.839689303,1.0
6.114393931,1.0
7.778174593,1.0
2.009671904,1.0
2.793071786,1.0
5.353808486,1.0
1.735625736,1.0
5.103466334,1.0
4.890821903,1.0
4.016366517,1.0
2.937212783,1.0
3.509344766,1.0
2.702158057,1.0
5.583705272,1.0
1.296362432,1.0
5.360325599,1.0
5.08232999,1.0
2.871282081,1.0
0.727904039,1.0
5.475026791,1.0
1.885618083,1.0
4.586638581,1.0
4.484545639,1.0
2.991605613,1.0
0.848528137,1.0
6.070770414,1.0
3.16514464,1.0
3.782199062,1.0
4.596194078,1.0
3.111269837,1.0
0.415040937,1.0
4.558582015,1.0
3.078860776,1.0
3.708702914,1.0
3.988082246,1.0
1.830158728,1.0
0.285562354,1.0
3.749000104,1.0
3.679574176,1.0
2.918422533,1.0
3.384011024,1.0
1.935239612,1.0
0.182872443,1.0
1.570016751,1.0
3.62981481,1.0
4.961339383,1.0
2.771402384,1.0
1.335646142,1.0
4.79506786,1.0
4.329669214,1.0
1.478495997,1.0
4.939193636,1.0
2.100523085,1.0
3.463798435,1.0
5.505331368,1.0
5.726569003,1.0
1.4633182,1.0
4.232954293,1.0
2.799760634,1.0
2.762430492,1.0
4.121688211,1.0
5.004846698,1.0
0.054392829,1.0
4.242640687,1.0
2.793071786,1.0
1.361835282,1.0
4.139161646,1.0
3.595169418,1.0
0.757614408,1.0
4.941428565,1.0
2.104876,1.0
2.080682023,1.0
3.455180863,1.0
2.876097245,1.0
1.44564053,1.0
4.926436256,1.0
0.722478668,1.0
2.113717045,1.0
4.889568168,1.0
3.557863594,1.0
0.721838172,1.0
5.613115686,1.0
1.443075064,1.0
2.128462836,1.0
6.307392488,1.0
4.256642802,1.0
1.414213562,1.0
4.901691668,1.0
1.448209081,1.0
2.835161475,1.0
6.310594481,1.0
4.956355943,1.0
1.407666277,1.0
4.897849723,1.0
2.153461561,1.0
4.236270356,1.0
4.899239841,1.0
4.95600505,1.0
1.408010871,1.0
5.601515458,1.0
3.559916898,1.0
2.828427125,1.0
4.206686105,1.0
4.242640687,1.0
1.402428449,1.0
6.299678596,1.0
4.271620473,1.0
2.83417596,1.0
4.214128317,1.0
5.639883687,1.0
0.718330698,1.0
6.302715561,1.0
2.867097027,1.0
