avg-attendance,attendance
51.77358491,54.0
51.73831776,48.0
51.7962963,58.0
51.75229358,47.0
51.79090909,56.0
51.75675676,48.0
51.79464286,56.0
51.75221239,47.0
51.79824561,57.0
51.76521739,48.0
51.79310345,55.0
51.75213675,47.0
51.81355932,59.0
51.77310924,47.0
51.8,55.0
51.76033058,47.0
51.81147541,58.0
51.77235772,47.0
51.7983871,55.0
51.776,49.0
51.80952381,56.0
51.76377953,46.0
51.8125,58.0
51.78294574,48.0
51.80769231,55.0
51.77099237,47.0
51.83333333,60.0
51.78947368,46.0
51.80597015,54.0
51.77037037,47.0
51.81617647,58.0
51.77372263,46.0
51.79710145,55.0
51.76258993,47.0
51.81428571,59.0
51.78014184,47.0
51.79577465,54.0
51.75524476,46.0
51.79861111,58.0
51.76551724,47.0
51.80136986,57.0
51.7755102,48.0
51.80405405,56.0
51.75838926,45.0
51.80666667,59.0
51.78145695,48.0
51.79605263,54.0
51.77124183,48.0
51.81818182,59.0
51.78064516,46.0
51.79487179,54.0
51.75796178,46.0
51.79746835,58.0
51.78616352,50.0
51.825,58.0
51.7826087,45.0
51.80246914,55.0
51.76687117,46.0
51.81707317,60.0
51.80606061,50.0
51.8253012,55.0
51.79041916,46.0
51.80357143,54.0
51.76923077,46.0
51.82352941,61.0
51.81871345,51.0
51.8255814,53.0
51.79190751,46.0
51.79310345,52.0
51.77142857,48.0
51.80681818,58.0
51.80225989,51.0
51.83146067,57.0
51.7877095,44.0
51.81111111,56.0
51.7679558,44.0
51.80769231,59.0
51.79234973,49.0
51.81521739,56.0
51.79459459,48.0
51.82258065,57.0
51.77005348,42.0
51.78723404,55.0
51.78306878,51.0
51.80526316,56.0
51.80104712,51.0
51.83854167,59.0
51.78238342,41.0
51.79896907,55.0
51.8,52.0
51.80102041,52.0
51.79695431,51.0
51.83333333,59.0
51.78894472,43.0
51.79,52.0
51.78606965,51.0
51.7970297,54.0
51.79310345,51.0
51.82352941,58.0
51.7902439,45.0
51.7815534,50.0
51.76328502,48.0
51.78365385,56.0
51.77511962,50.0
51.8,57.0
51.77725118,47.0
51.79716981,56.0
51.75117371,42.0
51.78504673,59.0
51.77209302,49.0
51.7962963,57.0
51.78801843,50.0
51.81192661,57.0
51.76255708,41.0
51.78181818,56.0
51.77375566,50.0
51.8018018,58.0
51.80717489,53.0
51.82589286,56.0
51.78666667,43.0
51.79646018,54.0
51.77973568,48.0
51.80263158,57.0
51.80349345,52.0
51.83478261,59.0
51.78787879,41.0
51.81034483,57.0
51.79828326,49.0
51.81196581,55.0
51.80851064,51.0
51.83898305,59.0
51.79746835,42.0
51.80252101,53.0
51.79079498,49.0
51.8,54.0
51.80082988,52.0
51.82231405,57.0
51.80246914,47.0
51.81557377,55.0
51.79183673,46.0
51.81707317,58.0
51.8097166,50.0
51.83467742,58.0
51.81124498,46.0
51.824,55.0
51.80478088,47.0
51.82142857,56.0
51.80632411,48.0
51.82677165,57.0
51.81176471,48.0
51.8203125,54.0
51.79766537,46.0
51.82170543,58.0
51.81467181,50.0
51.82307692,54.0
51.81609195,50.0
51.82061069,53.0
51.80608365,48.0
51.81818182,55.0
51.81132075,50.0
51.81954887,54.0
51.80898876,49.0
51.81716418,54.0
51.80669145,49.0
51.81481481,54.0
51.81180812,51.0
51.81985294,54.0
51.81684982,51.0
51.81386861,51.0
51.81454545,52.0
51.81521739,52.0
51.82310469,54.0
51.82374101,52.0
51.8172043,50.0
51.81428571,51.0
51.81850534,53.0
51.81914894,52.0
51.83038869,55.0
51.82746479,51.0
51.8245614,51.0
51.81818182,50.0
51.81881533,52.0
51.82291667,53.0
51.82698962,53.0
51.83103448,53.0
51.83161512,52.0
51.82534247,50.0
51.82935154,53.0
51.82653061,51.0
51.83389831,54.0
51.8277027,50.0
51.83164983,53.0
51.82214765,49.0
51.82943144,54.0
51.82333333,50.0
51.82724252,53.0
51.82450331,51.0
51.83168317,54.0
51.82894737,51.0
51.82622951,51.0
51.82679739,52.0
51.82736156,52.0
51.83441558,54.0
51.83495146,52.0
51.82903226,50.0
51.82636656,51.0
51.83012821,53.0
51.83067093,52.0
51.84076433,55.0
51.83809524,51.0
51.83544304,51.0
51.829653,50.0
51.83018868,52.0
51.8338558,53.0
51.8375,53.0
51.8411215,53.0
51.84161491,52.0
51.83591331,50.0
51.83950617,53.0
51.83692308,51.0
51.84355828,54.0
51.83792049,50.0
51.84146341,53.0
51.83282675,49.0
51.83939394,54.0
51.83383686,50.0
51.8373494,53.0
51.83483483,51.0
51.84131737,54.0
51.83880597,51.0
51.83630952,51.0
51.83679525,52.0
51.83727811,52.0
51.84365782,54.0
51.84411765,52.0
51.83870968,50.0
51.83625731,51.0
51.83965015,53.0
51.84011628,52.0
51.84927536,55.0
51.84682081,51.0
51.8443804,51.0
51.83908046,50.0
51.83954155,52.0
51.84285714,53.0
51.84615385,53.0
51.84943182,53.0
51.84985836,52.0
51.84463277,50.0
51.84788732,53.0
51.84550562,51.0
51.85154062,54.0
51.84636872,50.0
51.84958217,53.0
51.84166667,49.0
51.84764543,54.0
51.84254144,50.0
51.84573003,53.0
51.84340659,51.0
51.84931507,54.0
51.84699454,51.0
51.84468665,51.0
51.8451087,52.0
51.84552846,52.0
51.85135135,54.0
51.85175202,52.0
51.84677419,50.0
51.84450402,51.0
51.84759358,53.0
51.848,52.0
51.85638298,55.0
51.85411141,51.0
51.85185185,51.0
51.8469657,50.0
51.84736842,52.0
51.8503937,53.0
51.85340314,53.0
51.85639687,53.0
51.85677083,52.0
51.85194805,50.0
51.85492228,53.0
51.85271318,51.0
51.85824742,54.0
51.85347044,50.0
51.85641026,53.0
51.84910486,49.0
51.85459184,54.0
51.84987277,50.0
51.85279188,53.0
51.85063291,51.0
51.85606061,54.0
51.85390428,51.0
51.85175879,51.0
51.85213033,52.0
51.8525,52.0
51.85785536,54.0
51.85820896,52.0
51.85359801,50.0
51.85148515,51.0
51.85432099,53.0
51.8546798,52.0
51.86240786,55.0
51.86029412,51.0
51.85819071,51.0
51.85365854,50.0
51.8540146,52.0
51.85679612,53.0
51.85956416,53.0
51.86231884,53.0
51.8626506,52.0
51.85817308,50.0
51.86091127,53.0
51.85885167,51.0
51.86396181,54.0
51.85952381,50.0
51.86223278,53.0
51.85545024,49.0
51.86052009,54.0
51.85613208,50.0
51.85882353,53.0
51.85680751,51.0
51.8618267,54.0
51.85981308,51.0
51.85780886,51.0
51.85813953,52.0
51.85846868,52.0
51.86342593,54.0
51.86374134,52.0
51.859447,50.0
51.85747126,51.0
51.86009174,53.0
51.8604119,52.0
51.86757991,55.0
51.86560364,51.0
51.86363636,51.0
51.85941043,50.0
51.85972851,52.0
51.86230248,53.0
51.86486486,53.0
51.86741573,53.0
51.867713,52.0
51.86353468,50.0
51.86607143,53.0
51.86414254,51.0
51.86888889,54.0
51.86474501,50.0
51.86725664,53.0
51.86092715,49.0
51.86563877,54.0
51.86153846,50.0
51.86403509,53.0
51.86214442,51.0
51.86681223,54.0
51.86492375,51.0
51.86304348,51.0
51.86334056,52.0
51.86363636,52.0
51.86825054,54.0
51.86853448,52.0
51.86451613,50.0
51.86266094,51.0
51.86509636,53.0
51.86538462,52.0
51.87206823,55.0
51.87021277,51.0
51.86836518,51.0
51.86440678,50.0
51.86469345,52.0
51.86708861,53.0
51.86947368,53.0
51.87184874,53.0
51.8721174,52.0
51.86820084,50.0
51.87056367,53.0
51.86875,51.0
51.87318087,54.0
51.86929461,50.0
51.87163561,53.0
51.86570248,49.0
51.87010309,54.0
51.86625514,50.0
51.86858316,53.0
51.86680328,51.0
51.87116564,54.0
51.86938776,51.0
51.86761711,51.0
51.86788618,52.0
51.86815416,52.0
51.87246964,54.0
51.87272727,52.0
51.86895161,50.0
51.86720322,51.0
51.86947791,53.0
51.86973948,52.0
0.0,57.0
0.0,59.0
50.0,50.0
59.0,68.0
62.33333333,69.0
59.0,49.0
58.6,57.0
59.16666667,62.0
58.71428571,56.0
59.25,63.0
59.66666667,63.0
59.2,55.0
59.45454545,62.0
59.5,60.0
59.38461538,58.0
59.28571429,58.0
59.4,61.0
59.4375,60.0
59.47058824,60.0
59.5,60.0
59.47368421,59.0
59.5,60.0
59.52380952,60.0
59.54545455,60.0
59.56521739,60.0
59.58333333,60.0
59.6,60.0
59.61538462,60.0
59.62962963,60.0
59.64285714,60.0
59.65517241,60.0
59.66666667,60.0
59.67741935,60.0
59.6875,60.0
59.6969697,60.0
59.70588235,60.0
59.71428571,60.0
59.72222222,60.0
59.72972973,60.0
59.73684211,60.0
59.74358974,60.0
59.75,60.0
59.75609756,60.0
59.76190476,60.0
59.76744186,60.0
59.77272727,60.0
59.77777778,60.0
59.7826087,60.0
59.78723404,60.0
59.79166667,60.0
59.79591837,60.0
59.8,60.0
59.80392157,60.0
59.80769231,60.0
59.81132075,60.0
59.81481481,60.0
59.81818182,60.0
59.82142857,60.0
59.8245614,60.0
59.82758621,60.0
59.83050847,60.0
59.83333333,60.0
59.83606557,60.0
59.83870968,60.0
59.84126984,60.0
59.84375,60.0
59.84615385,60.0
59.84848485,60.0
59.85074627,60.0
59.85294118,60.0
59.85507246,60.0
59.85714286,60.0
59.85915493,60.0
59.86111111,60.0
59.8630137,60.0
59.86486486,60.0
59.86666667,60.0
59.86842105,60.0
59.87012987,60.0
59.87179487,60.0
59.87341772,60.0
59.875,60.0
59.87654321,60.0
59.87804878,60.0
59.87951807,60.0
59.88095238,60.0
59.88235294,60.0
59.88372093,60.0
59.88505747,60.0
59.88636364,60.0
59.88764045,60.0
59.88888889,60.0
59.89010989,60.0
59.89130435,60.0
59.89247312,60.0
59.89361702,60.0
59.89473684,60.0
59.89583333,60.0
59.89690722,60.0
59.89795918,60.0
59.8989899,60.0
59.9,60.0
59.9009901,60.0
59.90196078,60.0
59.90291262,60.0
59.90384615,60.0
59.9047619,60.0
59.90566038,60.0
59.90654206,60.0
59.90740741,60.0
59.90825688,60.0
59.90909091,60.0
59.90990991,60.0
59.91071429,60.0
59.91150442,60.0
59.9122807,60.0
59.91304348,60.0
59.9137931,60.0
59.91452991,60.0
59.91525424,60.0
59.91596639,60.0
59.91666667,60.0
59.91735537,60.0
59.91803279,60.0
59.91869919,60.0
59.91935484,60.0
59.92,60.0
59.92063492,60.0
59.92125984,60.0
59.921875,60.0
59.92248062,60.0
59.92307692,60.0
59.92366412,60.0
59.92424242,60.0
59.92481203,60.0
59.92537313,60.0
59.92592593,60.0
59.92647059,60.0
59.9270073,60.0
59.92753623,60.0
59.92805755,60.0
59.92857143,60.0
59.92907801,60.0
59.92957746,60.0
59.93006993,60.0
59.93055556,60.0
59.93103448,60.0
59.93150685,60.0
59.93197279,60.0
59.93243243,60.0
59.93288591,60.0
59.93333333,60.0
59.93377483,60.0
59.93421053,60.0
59.93464052,60.0
59.93506494,60.0
59.93548387,60.0
59.93589744,60.0
59.93630573,60.0
59.93670886,60.0
59.93710692,60.0
59.9375,60.0
59.9378882,60.0
59.9382716,60.0
59.93865031,60.0
59.93902439,60.0
59.93939394,60.0
59.93975904,60.0
59.94011976,60.0
59.94047619,60.0
59.9408284,60.0
59.94117647,60.0
59.94152047,60.0
59.94186047,60.0
59.94219653,60.0
59.94252874,60.0
59.94285714,60.0
59.94318182,60.0
59.94350282,60.0
59.94382022,60.0
59.94413408,60.0
59.94444444,60.0
59.94475138,60.0
59.94505495,60.0
59.94535519,60.0
59.94565217,60.0
59.94594595,60.0
59.94623656,60.0
59.94652406,60.0
59.94680851,60.0
59.94708995,60.0
59.94736842,60.0
59.94764398,60.0
59.94791667,60.0
59.94818653,60.0
59.94845361,60.0
59.94871795,60.0
59.94897959,60.0
59.94923858,60.0
59.94949495,60.0
59.94974874,60.0
59.95,60.0
59.95024876,60.0
59.95049505,60.0
59.95073892,60.0
59.95098039,60.0
59.95121951,60.0
59.95145631,60.0
59.95169082,60.0
59.95192308,60.0
59.95215311,60.0
59.95238095,60.0
59.95260664,60.0
59.95283019,60.0
59.95305164,60.0
59.95327103,60.0
59.95348837,60.0
59.9537037,60.0
59.95391705,60.0
59.95412844,60.0
59.9543379,60.0
59.95454545,60.0
59.95475113,60.0
59.95495495,60.0
59.95515695,60.0
59.95535714,60.0
59.95555556,60.0
59.95575221,60.0
59.95594714,60.0
59.95614035,60.0
59.95633188,60.0
59.95652174,60.0
59.95670996,60.0
59.95689655,60.0
59.95708155,60.0
59.95726496,60.0
59.95744681,60.0
59.95762712,60.0
59.95780591,60.0
59.95798319,60.0
59.958159,60.0
59.95833333,60.0
59.95850622,60.0
59.95867769,60.0
59.95884774,60.0
59.95901639,60.0
59.95918367,60.0
59.95934959,60.0
59.95951417,60.0
59.95967742,60.0
59.95983936,60.0
59.96,60.0
59.96015936,60.0
59.96031746,60.0
59.96047431,60.0
59.96062992,60.0
59.96078431,60.0
59.9609375,60.0
59.96108949,60.0
59.96124031,60.0
59.96138996,60.0
59.96153846,60.0
59.96168582,60.0
59.96183206,60.0
59.96197719,60.0
59.96212121,60.0
59.96226415,60.0
59.96240602,60.0
59.96254682,60.0
59.96268657,60.0
59.96282528,60.0
59.96296296,60.0
59.96309963,60.0
59.96323529,60.0
59.96336996,60.0
59.96350365,60.0
59.96363636,60.0
59.96376812,60.0
59.96389892,60.0
59.96402878,60.0
59.96415771,60.0
59.96428571,60.0
59.96441281,60.0
59.96453901,60.0
59.96466431,60.0
59.96478873,60.0
59.96491228,60.0
59.96503497,60.0
59.96515679,60.0
59.96527778,60.0
59.96539792,60.0
59.96551724,60.0
59.96563574,60.0
59.96575342,60.0
59.96587031,60.0
59.96598639,60.0
59.96610169,60.0
59.96621622,60.0
59.96632997,60.0
59.96644295,60.0
59.96655518,60.0
59.96666667,60.0
59.96677741,60.0
59.96688742,60.0
59.9669967,60.0
59.96710526,60.0
59.96721311,60.0
59.96732026,60.0
59.96742671,60.0
59.96753247,60.0
59.96763754,60.0
59.96774194,60.0
59.96784566,60.0
59.96794872,60.0
59.96805112,60.0
59.96815287,60.0
59.96825397,60.0
59.96835443,60.0
59.96845426,60.0
59.96855346,60.0
59.96865204,60.0
59.96875,60.0
59.96884735,60.0
59.9689441,60.0
59.96904025,60.0
59.9691358,60.0
59.96923077,60.0
59.96932515,60.0
59.96941896,60.0
59.9695122,60.0
59.96960486,60.0
59.96969697,60.0
59.96978852,60.0
59.96987952,60.0
59.96996997,60.0
59.97005988,60.0
59.97014925,60.0
59.9702381,60.0
59.97032641,60.0
59.9704142,60.0
59.97050147,60.0
59.97058824,60.0
59.97067449,60.0
59.97076023,60.0
59.97084548,60.0
59.97093023,60.0
59.97101449,60.0
59.97109827,60.0
59.97118156,60.0
59.97126437,60.0
59.9713467,60.0
59.97142857,60.0
59.97150997,60.0
59.97159091,60.0
59.97167139,60.0
59.97175141,60.0
59.97183099,60.0
59.97191011,60.0
59.9719888,60.0
59.97206704,60.0
59.97214485,60.0
59.97222222,60.0
59.97229917,60.0
59.97237569,60.0
59.97245179,60.0
59.97252747,60.0
59.97260274,60.0
59.9726776,60.0
59.97275204,60.0
59.97282609,60.0
59.97289973,60.0
59.97297297,60.0
59.97304582,60.0
59.97311828,60.0
59.97319035,60.0
59.97326203,60.0
59.97333333,60.0
59.97340426,60.0
59.9734748,60.0
59.97354497,60.0
59.97361478,60.0
59.97368421,60.0
59.97375328,60.0
59.97382199,60.0
59.97389034,60.0
59.97395833,60.0
59.97402597,60.0
59.97409326,60.0
59.97416021,60.0
59.9742268,60.0
59.97429306,60.0
59.97435897,60.0
59.97442455,60.0
59.9744898,60.0
59.97455471,60.0
59.97461929,60.0
59.97468354,60.0
59.97474747,60.0
59.97481108,60.0
59.97487437,60.0
59.97493734,60.0
59.975,60.0
59.97506234,60.0
59.97512438,60.0
59.9751861,60.0
59.97524752,60.0
59.97530864,60.0
59.97536946,60.0
59.97542998,60.0
59.9754902,60.0
59.97555012,60.0
59.97560976,60.0
59.9756691,60.0
