std,avg-attendance
0.0,0.0
0.0,0.0
0.0,71.0
7.778174593,60.0
6.599663291,55.33333333
7.071067812,52.0
10.18233765,48.4
0.942809042,48.66666667
0.808122036,48.85714286
6.275572683,50.125
3.849803586,49.44444444
0.353553391,49.5
8.678128678,48.27272727
5.362226424,47.58333333
0.380749805,47.53846154
5.555838995,48.14285714
1.225651754,48.26666667
0.839689303,48.1875
6.114393931,47.64705882
7.778174593,47.0
2.009671904,46.84210526
2.793071786,47.05
5.353808486,47.42857143
1.735625736,47.54545455
5.103466334,47.2173913
4.890821903,46.91666667
4.016366517,46.68
2.937212783,46.84615385
3.509344766,47.03703704
2.702158057,47.17857143
5.583705272,46.89655172
1.296362432,46.83333333
5.360325599,46.58064516
5.08232999,46.8125
2.871282081,46.93939394
0.727904039,46.97058824
5.475026791,46.74285714
1.885618083,46.66666667
4.586638581,46.48648649
4.484545639,46.65789474
2.991605613,46.76923077
0.848528137,46.8
6.070770414,46.58536585
3.16514464,46.47619048
3.782199062,46.34883721
4.596194078,46.5
3.111269837,46.6
0.415040937,46.58695652
4.558582015,46.44680851
3.078860776,46.35416667
3.708702914,46.24489796
3.988082246,46.36
1.830158728,46.41176471
0.285562354,46.40384615
3.749000104,46.30188679
3.679574176,46.2037037
2.918422533,46.12727273
3.384011024,46.21428571
1.935239612,46.26315789
0.182872443,46.25862069
1.570016751,46.22033898
3.62981481,46.13333333
4.961339383,46.01639344
2.771402384,46.08064516
1.335646142,46.11111111
4.79506786,46.21875
4.329669214,46.12307692
1.478495997,46.09090909
4.939193636,45.98507463
2.100523085,46.02941176
3.463798435,46.10144928
5.505331368,46.21428571
5.726569003,46.09859155
1.4633182,46.06944444
4.232954293,45.98630137
2.799760634,46.04054054
2.762430492,46.09333333
4.121688211,46.17105263
5.004846698,46.07792208
0.054392829,46.07692308
4.242640687,46.0
2.793071786,46.05
1.361835282,46.07407407
4.139161646,46.14634146
3.595169418,46.08433735
0.757614408,46.07142857
4.941428565,45.98823529
2.104876,46.02325581
2.080682023,46.05747126
3.455180863,46.11363636
2.876097245,46.06741573
1.44564053,46.04444444
4.926436256,45.96703297
0.722478668,45.97826087
2.113717045,46.01075269
4.889568168,46.08510638
3.557863594,46.03157895
0.721838172,46.02083333
5.613115686,45.93814433
1.443075064,45.95918367
2.128462836,45.98989899
6.307392488,46.08
4.256642802,46.01980198
1.414213562,46.0
4.901691668,45.93203883
