attendance,std
52.0,0.116706944
50.0,1.293321113
51.0,0.584329398
53.0,0.827224279
52.0,0.119733736
55.0,2.233916965
51.0,0.592622826
51.0,0.590747437
50.0,1.293760041
52.0,0.120074736
53.0,0.824588472
53.0,0.822011633
53.0,0.819450849
52.0,0.111995173
50.0,1.298186753
53.0,0.820593055
51.0,0.591793983
54.0,1.524834562
50.0,1.299606041
53.0,0.819209076
49.0,2.003111003
54.0,1.527779197
50.0,1.296718478
53.0,0.822118125
51.0,0.590317373
54.0,1.526419129
51.0,0.59312539
51.0,0.591360135
52.0,0.115403184
52.0,0.115061754
54.0,1.52476418
52.0,0.110225469
50.0,1.300164082
51.0,0.591323215
53.0,0.82049125
52.0,0.113054863
55.0,2.227898757
51.0,0.598792737
51.0,0.597067109
50.0,1.300426264
52.0,0.11346126
53.0,0.818223561
53.0,0.81589244
53.0,0.813574564
52.0,0.106166174
50.0,1.304352339
53.0,0.814666686
51.0,0.597862756
54.0,1.519190199
50.0,1.305579839
53.0,0.813468247
49.0,2.00936177
54.0,1.521944512
50.0,1.302873544
53.0,0.816192125
51.0,0.596378521
54.0,1.520763899
51.0,0.59891558
51.0,0.597283657
52.0,0.109524692
52.0,0.109227877
54.0,1.51932403
52.0,0.104827151
50.0,1.305866556
51.0,0.59715452
53.0,0.814874392
52.0,0.107480231
55.0,2.222872913
51.0,0.603947967
51.0,0.602350221
50.0,1.306001971
52.0,0.107926824
53.0,0.81289441
53.0,0.810766414
53.0,0.80864953
52.0,0.101278315
50.0,1.309525026
53.0,0.809692221
51.0,0.602959271
54.0,1.514447771
50.0,1.310601515
53.0,0.808640063
49.0,2.014621366
54.0,1.517032661
50.0,1.308057583
53.0,0.811198642
51.0,0.6014883
54.0,1.515994084
51.0,0.603801508
51.0,0.602284419
52.0,0.104559649
52.0,0.10429825
54.0,1.514725
52.0,0.100261409
50.0,1.310691726
51.0,0.602090923
53.0,0.810117399
52.0,0.102756897
55.0,2.218612677
51.0,0.608319804
51.0,0.60683247
50.0,1.310734521
52.0,0.103227267
53.0,0.808367218
53.0,0.806409913
53.0,0.804462063
52.0,0.09712069
50.0,1.313926783
53.0,0.805457365
51.0,0.607299843
54.0,1.510407086
50.0,1.314881895
53.0,0.804522917
49.0,2.019108226
54.0,1.512840749
50.0,1.312483577
53.0,0.806933621
51.0,0.605854402
54.0,1.511916841
51.0,0.607979662
51.0,0.60656246
52.0,0.100310497
52.0,0.100077758
54.0,1.510786016
52.0,0.096349423
50.0,1.314827586
51.0,0.606323746
53.0,0.806036858
52.0,0.098703693
55.0,2.214955488
51.0,0.612074207
51.0,0.610683129
50.0,1.314801725
52.0,0.099186924
53.0,0.804473629
53.0,0.802661752
53.0,0.800858017
52.0,0.093541032
50.0,1.317718006
53.0,0.801808582
51.0,0.611041049
54.0,1.506923118
50.0,1.318573843
53.0,0.800970513
49.0,2.02298099
54.0,1.509221302
50.0,1.31630647
53.0,0.803248493
51.0,0.609628166
54.0,1.50839154
51.0,0.611593447
51.0,0.610263896
52.0,0.096632814
52.0,0.096423652
54.0,1.507374499
52.0,0.092960159
50.0,1.318411998
51.0,0.609993404
53.0,0.80249806
52.0,0.095187451
55.0,2.211781765
51.0,0.615333348
51.0,0.614026908
50.0,1.318334677
52.0,0.095676182
53.0,0.801089328
53.0,0.799402824
53.0,0.797723407
52.0,0.090426653
50.0,1.32101748
53.0,0.798632085
51.0,0.614299016
54.0,1.503888227
50.0,1.321790892
53.0,0.797874111
49.0,2.026357656
54.0,1.506064546
50.0,1.319641668
53.0,0.800032518
51.0,0.612922476
54.0,1.505313209
51.0,0.614749977
51.0,0.61349794
52.0,0.093418579
52.0,0.093229089
54.0,1.504391148
52.0,0.089995409
50.0,1.321548359
51.0,0.613205277
53.0,0.799399835
52.0,0.092108098
57.0,0.0
59.0,0.0
50.0,0.0
68.0,6.363961031
69.0,4.714045208
49.0,7.071067812
57.0,1.13137085
62.0,2.003469213
56.0,1.919289835
63.0,2.651650429
63.0,2.357022604
55.0,2.969848481
62.0,1.79990817
60.0,0.353553391
58.0,0.979070928
58.0,0.90913729
61.0,1.13137085
60.0,0.397747564
60.0,0.374350649
60.0,0.353553391
59.0,0.334945317
60.0,0.353553391
60.0,0.336717515
60.0,0.321412173
60.0,0.307437731
60.0,0.294627825
60.0,0.282842712
60.0,0.271964147
60.0,0.2618914
60.0,0.252538136
60.0,0.243829925
60.0,0.23570226
60.0,0.228098962
60.0,0.220970869
60.0,0.214274782
60.0,0.207972583
60.0,0.202030509
60.0,0.19641855
60.0,0.191109941
60.0,0.186080732
60.0,0.181309431
60.0,0.176776695
60.0,0.172465069
60.0,0.168358757
60.0,0.164443437
60.0,0.160706087
60.0,0.15713484
60.0,0.153718865
60.0,0.150448251
60.0,0.147313913
60.0,0.144307506
60.0,0.141421356
60.0,0.138648388
60.0,0.135982073
60.0,0.133416374
60.0,0.1309457
60.0,0.128564869
60.0,0.126269068
60.0,0.124053821
60.0,0.121914962
60.0,0.119848607
60.0,0.11785113
60.0,0.115919144
60.0,0.114049481
60.0,0.112239172
60.0,0.110485435
60.0,0.108785659
60.0,0.107137391
60.0,0.105538326
60.0,0.103986291
60.0,0.102479244
60.0,0.101015254
60.0,0.099592504
60.0,0.098209275
60.0,0.096863943
60.0,0.09555497
60.0,0.094280904
60.0,0.093040366
60.0,0.09183205
60.0,0.090654716
60.0,0.089507187
60.0,0.088388348
60.0,0.087297133
60.0,0.086232534
60.0,0.085193588
60.0,0.084179379
60.0,0.083189033
60.0,0.082221719
60.0,0.081276642
60.0,0.080353043
60.0,0.0794502
60.0,0.07856742
60.0,0.077704042
60.0,0.076859433
60.0,0.076032987
60.0,0.075224126
60.0,0.074432293
60.0,0.073656956
60.0,0.072897606
60.0,0.072153753
60.0,0.071424927
60.0,0.070710678
60.0,0.070010572
60.0,0.069324194
60.0,0.068651144
60.0,0.067991037
60.0,0.067343503
60.0,0.066708187
60.0,0.066084746
60.0,0.06547285
60.0,0.064872182
60.0,0.064282435
60.0,0.063703314
60.0,0.063134534
60.0,0.062575821
60.0,0.062026911
60.0,0.061487546
60.0,0.060957481
60.0,0.060436477
60.0,0.059924303
60.0,0.059420738
60.0,0.058925565
60.0,0.058438577
60.0,0.057959572
60.0,0.057488356
60.0,0.05702474
60.0,0.056568542
60.0,0.056119586
60.0,0.055677699
60.0,0.055242717
60.0,0.054814479
60.0,0.054392829
60.0,0.053977617
60.0,0.053568696
60.0,0.053165923
60.0,0.052769163
60.0,0.05237828
60.0,0.051993146
60.0,0.051613634
60.0,0.051239622
60.0,0.050870991
60.0,0.050507627
60.0,0.050149417
60.0,0.049796252
60.0,0.049448027
60.0,0.049104638
60.0,0.048765985
60.0,0.048431971
60.0,0.048102502
60.0,0.047777485
60.0,0.047456831
60.0,0.047140452
60.0,0.046828264
60.0,0.046520183
60.0,0.046216129
60.0,0.045916025
60.0,0.045619792
60.0,0.045327358
60.0,0.045038648
60.0,0.044753594
60.0,0.044472125
60.0,0.044194174
60.0,0.043919676
60.0,0.043648567
60.0,0.043380784
60.0,0.043116267
60.0,0.042854956
60.0,0.042596794
60.0,0.042341723
60.0,0.042089689
60.0,0.041840638
60.0,0.041594517
60.0,0.041351274
60.0,0.041110859
60.0,0.040873224
60.0,0.040638321
60.0,0.040406102
60.0,0.040176522
60.0,0.039949536
60.0,0.0397251
60.0,0.039503172
60.0,0.03928371
60.0,0.039066673
60.0,0.038852021
60.0,0.038639715
60.0,0.038429716
60.0,0.038221988
60.0,0.038016494
60.0,0.037813197
60.0,0.037612063
60.0,0.037413057
60.0,0.037216146
60.0,0.037021297
60.0,0.036828478
60.0,0.036637657
60.0,0.036448803
60.0,0.036261886
60.0,0.036076877
60.0,0.035893745
60.0,0.035712464
60.0,0.035533004
60.0,0.035355339
60.0,0.035179442
60.0,0.035005286
60.0,0.034832846
60.0,0.034662097
60.0,0.034493014
60.0,0.034325572
60.0,0.034159748
60.0,0.033995518
60.0,0.03383286
60.0,0.033671751
60.0,0.03351217
60.0,0.033354093
60.0,0.033197501
60.0,0.033042373
60.0,0.032888687
60.0,0.032736425
60.0,0.032585566
60.0,0.032436091
60.0,0.032287981
60.0,0.032141217
60.0,0.031995782
60.0,0.031851657
60.0,0.031708824
60.0,0.031567267
60.0,0.031426968
60.0,0.031287911
60.0,0.031150078
60.0,0.031013455
60.0,0.030878025
60.0,0.030743773
60.0,0.030610683
60.0,0.030478741
60.0,0.030347931
60.0,0.030218239
60.0,0.03008965
60.0,0.029962152
60.0,0.029835729
60.0,0.029710369
60.0,0.029586058
60.0,0.029462783
60.0,0.02934053
60.0,0.029219288
60.0,0.029099044
60.0,0.028979786
60.0,0.028861501
60.0,0.028744178
60.0,0.028627805
60.0,0.02851237
60.0,0.028397863
60.0,0.028284271
60.0,0.028171585
60.0,0.028059793
60.0,0.027948885
60.0,0.02783885
60.0,0.027729678
60.0,0.027621359
60.0,0.027513883
60.0,0.02740724
60.0,0.02730142
60.0,0.027196415
60.0,0.027092214
60.0,0.026988808
60.0,0.026886189
60.0,0.026784348
60.0,0.026683275
60.0,0.026582962
60.0,0.0264834
60.0,0.026384581
60.0,0.026286497
60.0,0.02618914
60.0,0.026092501
60.0,0.025996573
60.0,0.025901347
60.0,0.025806817
60.0,0.025712974
60.0,0.025619811
60.0,0.025527321
60.0,0.025435496
60.0,0.025344329
60.0,0.025253814
60.0,0.025163942
60.0,0.025074709
60.0,0.024986105
60.0,0.024898126
60.0,0.024810764
60.0,0.024724013
60.0,0.024637867
60.0,0.024552319
60.0,0.024467363
60.0,0.024382992
60.0,0.024299202
60.0,0.024215986
60.0,0.024133337
60.0,0.024051251
60.0,0.023969721
60.0,0.023888743
60.0,0.023808309
60.0,0.023728415
60.0,0.023649056
60.0,0.023570226
60.0,0.02349192
60.0,0.023414132
60.0,0.023336857
60.0,0.023260091
60.0,0.023183829
60.0,0.023108065
60.0,0.023032794
60.0,0.022958012
60.0,0.022883715
60.0,0.022809896
60.0,0.022736552
60.0,0.022663679
60.0,0.022591271
60.0,0.022519324
60.0,0.022447834
60.0,0.022376797
60.0,0.022306208
60.0,0.022236062
60.0,0.022166357
60.0,0.022097087
60.0,0.022028249
60.0,0.021959838
60.0,0.021891851
60.0,0.021824283
60.0,0.021757132
60.0,0.021690392
60.0,0.021624061
60.0,0.021558134
60.0,0.021492607
60.0,0.021427478
60.0,0.021362743
60.0,0.021298397
60.0,0.021234438
60.0,0.021170862
60.0,0.021107665
60.0,0.021044845
60.0,0.020982397
60.0,0.020920319
60.0,0.020858607
60.0,0.020797258
60.0,0.020736269
60.0,0.020675637
60.0,0.020615358
60.0,0.02055543
60.0,0.020495849
60.0,0.020436612
60.0,0.020377717
60.0,0.02031916
60.0,0.020260939
60.0,0.020203051
60.0,0.020145492
60.0,0.020088261
60.0,0.020031354
60.0,0.019974768
60.0,0.019918501
60.0,0.01986255
60.0,0.019806913
60.0,0.019751586
60.0,0.019696568
60.0,0.019641855
60.0,0.019587445
60.0,0.019533336
60.0,0.019479526
60.0,0.01942601
60.0,0.019372789
60.0,0.019319857
60.0,0.019267215
60.0,0.019214858
60.0,0.019162785
60.0,0.019110994
60.0,0.019059482
60.0,0.019008247
60.0,0.018957286
60.0,0.018906598
60.0,0.018856181
60.0,0.018806031
60.0,0.018756148
60.0,0.018706529
60.0,0.018657171
60.0,0.018608073
60.0,0.018559233
60.0,0.018510649
60.0,0.018462318
60.0,0.018414239
60.0,0.01836641
60.0,0.018318829
60.0,0.018271493
60.0,0.018224402
60.0,0.018177552
60.0,0.018130943
60.0,0.018084572
60.0,0.018038438
60.0,0.017992539
60.0,0.017946873
60.0,0.017901437
60.0,0.017856232
