avg-attendance,std
0.0,0.0
0.0,0.0
71.0,0.0
60.0,7.778174593
55.33333333,6.599663291
52.0,7.071067812
48.4,10.18233765
48.66666667,0.942809042
48.85714286,0.808122036
50.125,6.275572683
49.44444444,3.849803586
49.5,0.353553391
48.27272727,8.678128678
47.58333333,5.362226424
47.53846154,0.380749805
48.14285714,5.555838995
48.26666667,1.225651754
48.1875,0.839689303
47.64705882,6.114393931
47.0,7.778174593
46.84210526,2.009671904
47.05,2.793071786
47.42857143,5.353808486
47.54545455,1.735625736
47.2173913,5.103466334
46.91666667,4.890821903
46.68,4.016366517
46.84615385,2.937212783
47.03703704,3.509344766
47.17857143,2.702158057
46.89655172,5.583705272
46.83333333,1.296362432
46.58064516,5.360325599
46.8125,5.08232999
46.93939394,2.871282081
46.97058824,0.727904039
46.74285714,5.475026791
46.66666667,1.885618083
46.48648649,4.586638581
46.65789474,4.484545639
46.76923077,2.991605613
46.8,0.848528137
46.58536585,6.070770414
46.47619048,3.16514464
46.34883721,3.782199062
46.5,4.596194078
46.6,3.111269837
46.58695652,0.415040937
46.44680851,4.558582015
46.35416667,3.078860776
46.24489796,3.708702914
46.36,3.988082246
46.41176471,1.830158728
46.40384615,0.285562354
46.30188679,3.749000104
46.2037037,3.679574176
46.12727273,2.918422533
46.21428571,3.384011024
46.26315789,1.935239612
46.25862069,0.182872443
46.22033898,1.570016751
46.13333333,3.62981481
46.01639344,4.961339383
46.08064516,2.771402384
46.11111111,1.335646142
46.21875,4.79506786
46.12307692,4.329669214
46.09090909,1.478495997
45.98507463,4.939193636
46.02941176,2.100523085
46.10144928,3.463798435
46.21428571,5.505331368
46.09859155,5.726569003
46.06944444,1.4633182
45.98630137,4.232954293
46.04054054,2.799760634
46.09333333,2.762430492
46.17105263,4.121688211
46.07792208,5.004846698
46.07692308,0.054392829
46.0,4.242640687
46.05,2.793071786
46.07407407,1.361835282
46.14634146,4.139161646
46.08433735,3.595169418
46.07142857,0.757614408
45.98823529,4.941428565
46.02325581,2.104876
46.05747126,2.080682023
46.11363636,3.455180863
46.06741573,2.876097245
46.04444444,1.44564053
45.96703297,4.926436256
45.97826087,0.722478668
46.01075269,2.113717045
46.08510638,4.889568168
46.03157895,3.557863594
46.02083333,0.721838172
45.93814433,5.613115686
45.95918367,1.443075064
45.98989899,2.128462836
46.08,6.307392488
46.01980198,4.256642802
46.0,1.414213562
45.93203883,4.901691668
